,f1,f2,f3,f4,f5,f6,Stage
0,0.63697,0.17937,0.096075,0.042899,0.096075,0.0024859,4
1,0.84353,0.2622,0.14283,0.059473,0.14283,0.0026574,4
2,0.36331,0.13431,0.084454,0.039397,0.084454,0.0029239,4
3,0.91621,0.53061,0.31088,0.12215,0.31088,0.0045914,4
4,1.0655,0.49515,0.27045,0.11148,0.27045,0.003881,4
5,0.3176,0.18206,0.14032,0.068836,0.14032,0.0068553,4
6,0.50074,0.4008,0.21242,0.081737,0.21242,0.0033773,4
7,0.71456,0.5025,0.2718,0.10223,0.2718,0.003178,4
8,0.29955,0.1842,0.1811,0.083846,0.1811,0.0082775,4
9,0.48294,0.45762,0.24996,0.084191,0.24996,0.0034964,4
10,0.45036,0.42079,0.20429,0.076759,0.20429,0.0052965,4
11,0.61055,0.70003,0.38128,0.10716,0.38128,0.004182,4
12,0.67414,0.73371,0.3751,0.12584,0.3751,0.00725,4
13,0.84195,0.99866,0.51455,0.15611,0.51455,0.0076009,4
14,0.9772,1.2038,0.63446,0.1734,0.63446,0.0073063,4
15,0.72987,0.7827,0.4339,0.15296,0.4339,0.00906,4
16,1.0478,1.2862,0.76913,0.19533,0.76913,0.0077151,4
17,0.76348,1.0548,0.65052,0.14833,0.65052,0.0049655,4
18,1.0128,1.1125,0.63888,0.20397,0.63888,0.010633,4
19,0.63537,0.18259,0.10145,0.043154,0.10145,0.0026847,4
20,2.0925,0.91832,0.58963,0.26695,0.58963,0.015813,4
21,0.55058,0.46364,0.37941,0.27498,0.37941,0.029772,4
22,1.6888,0.98634,0.58885,0.24103,0.58885,0.012365,4
23,0.65743,0.4461,0.38643,0.30388,0.38643,0.03064,4
24,1.4786,1.2619,0.6658,0.22903,0.6658,0.0083317,4
25,1.4313,1.1831,0.70036,0.29564,0.70036,0.01656,4
26,0.52672,0.29469,0.22478,0.14123,0.22478,0.016229,4
27,1.4939,1.6277,0.91826,0.2648,0.91826,0.010062,4
28,1.2434,1.1229,0.67123,0.2813,0.67123,0.015832,4
29,0.24986,0.14848,0.084635,0.051996,0.084635,0.0052654,4
30,1.4656,1.8346,1.1235,0.27326,1.1235,0.010694,4
31,0.66601,0.75323,0.44074,0.16141,0.44074,0.011377,4
32,0.58701,0.63187,0.36074,0.13824,0.36074,0.010022,4
33,0.38611,0.34183,0.1715,0.066879,0.1715,0.0048912,4
34,0.73548,0.9359,0.55741,0.14689,0.55741,0.0064494,4
35,0.57109,0.64955,0.36713,0.11365,0.36713,0.0057374,4
36,1.2597,1.4609,0.89986,0.25935,0.89986,0.011893,4
37,0.55899,0.64523,0.37059,0.11135,0.37059,0.0055105,4
38,3.396,1.0315,0.36301,0.19586,0.36301,0.013038,4
39,3.6399,1.1537,0.38343,0.22516,0.38343,0.013232,4
40,4.3802,1.2234,0.41991,0.23613,0.41991,0.014498,4
41,2.606,0.95559,0.28364,0.20009,0.28364,0.020288,4
42,6.5121,2.4849,0.85012,0.68511,0.85012,0.061972,4
43,7.8539,2.8579,0.87829,0.68854,0.87829,0.027516,4
44,8.777,3.1001,1.05,0.79506,1.05,0.047584,4
45,5.6465,1.7324,0.61082,0.49473,0.61082,0.040289,4
46,5.1259,1.9398,0.51815,0.35563,0.51815,0.033408,4
47,6.8434,2.7085,0.8009,0.6962,0.8009,0.080497,4
48,9.4464,3.3442,0.85393,0.61366,0.85393,0.028056,4
49,10.345,3.5558,0.92135,0.78202,0.92135,0.089274,4
50,8.9829,2.7261,0.82466,0.66137,0.82466,0.061797,4
51,5.7545,2.3279,0.53411,0.32751,0.53411,0.025615,4
52,8.7766,3.7435,0.73791,0.61679,0.73791,0.071267,4
53,13.262,4.6417,0.85484,0.47498,0.85484,0.02428,4
54,12.912,4.6715,0.85471,0.54965,0.85471,0.061551,4
55,7.8253,2.4837,0.7985,0.48646,0.7985,0.021023,4
56,8.2809,3.4622,0.67906,0.4009,0.67906,0.029652,4
57,10.075,4.6224,0.7123,0.53324,0.7123,0.051712,4
58,14.221,5.5647,0.8616,0.42211,0.8616,0.022704,4
59,13.219,5.3529,0.86572,0.49357,0.86572,0.052084,4
60,13.126,5.0636,0.81445,0.58396,0.81445,0.066239,4
61,11.985,5.9103,0.75638,0.3992,0.75638,0.025705,4
62,11.614,5.879,0.77822,0.45027,0.77822,0.033646,4
63,10.86,5.6123,0.74542,0.43425,0.74542,0.031936,4
64,13.029,6.872,1.0057,0.45383,1.0057,0.021854,4
65,12.733,6.5828,1.0059,0.49497,1.0059,0.042274,4
66,12.343,7.1257,1.0511,0.5802,1.0511,0.058643,4
67,12.217,7.1965,1.0141,0.56009,1.0141,0.05445,4
68,10.987,6.1609,0.79439,0.39645,0.79439,0.023184,4
69,11.138,7.228,0.96147,0.44164,0.96147,0.019821,4
70,10.986,7.1003,1.1497,0.49403,1.1497,0.02167,4
71,11.564,7.1151,1.1904,0.56793,1.1904,0.038253,4
72,11.101,6.9751,1.125,0.59017,1.125,0.0528,4
73,11.252,6.8632,1.0132,0.47481,1.0132,0.026565,4
74,11.411,6.745,1.0772,0.55254,1.0772,0.034073,4
75,11.094,6.6985,1.2191,0.65184,1.2191,0.055354,4
76,0.57621,0.11367,0.052301,0.033614,0.052301,0.0032971,4
77,0.49942,0.11346,0.049893,0.03269,0.049893,0.0030694,4
78,0.74548,0.14697,0.083498,0.089263,0.083498,0.010781,4
79,0.18995,0.051979,0.025852,0.01826,0.025852,0.0020571,4
80,2.2007,0.60768,0.26959,0.20572,0.26959,0.021574,4
81,1.3876,0.32895,0.13844,0.090547,0.13844,0.0082414,4
82,0.80131,0.18923,0.1154,0.097216,0.1154,0.0222,4
83,0.17711,0.047833,0.026415,0.016176,0.026415,0.0021098,4
84,0.71336,0.24262,0.13076,0.11106,0.13076,0.014894,4
85,2.2294,0.66181,0.30295,0.23338,0.30295,0.024768,4
86,2.3553,0.66575,0.28596,0.20781,0.28596,0.019079,4
87,2.0883,0.5674,0.42142,0.45954,0.42142,0.15231,4
88,0.12927,0.03725,0.019165,0.012374,0.019165,0.0015855,4
89,0.20375,0.063423,0.031613,0.022773,0.031613,0.0024478,4
90,1.9374,0.70577,0.36382,0.25792,0.36382,0.027932,4
91,3.4614,1.0272,0.52789,0.38666,0.52789,0.063632,4
92,2.304,0.74902,0.57694,0.63867,0.57694,0.17999,4
93,1.7513,0.36965,0.16622,0.11535,0.16622,0.016754,4
94,0.22793,0.089757,0.054362,0.03626,0.054362,0.0039591,4
95,1.841,0.72781,0.45261,0.27643,0.45261,0.025235,4
96,2.9351,1.1153,0.71624,0.41707,0.71624,0.064039,4
97,2.6949,0.94706,0.73349,0.61027,0.73349,0.13431,4
98,0.19818,0.053385,0.031135,0.022467,0.031135,0.0027151,4
99,0.4601,0.20781,0.14873,0.091269,0.14873,0.0075686,4
100,1.1527,0.53946,0.39951,0.23183,0.39951,0.017851,4
101,1.4714,0.69101,0.5064,0.27128,0.5064,0.020261,4
102,2.2524,1.1101,0.87686,0.39764,0.87686,0.054175,4
103,1.1172,0.44914,0.40038,0.26092,0.40038,0.047212,4
104,0.44619,0.16143,0.14193,0.099358,0.14193,0.017442,4
105,0.25244,0.084386,0.063987,0.044298,0.063987,0.0064171,4
106,0.75635,0.36514,0.26733,0.13646,0.26733,0.0096779,4
107,1.0803,0.53391,0.4128,0.19411,0.4128,0.01284,4
