f1,f2,f3,f4,f5,f6,Stage
1.6717,0.83428,0.49871,0.32138,0.49871,0.038491,0
4.391,2.2312,0.62715,0.3817,0.62715,0.014602,0
4.5798,2.2566,0.62983,0.38635,0.62983,0.014687,0
4.6003,2.2084,0.61861,0.38069,0.61861,0.014213,0
2.91,1.2772,0.46959,0.30905,0.46959,0.018912,0
2.5114,1.3174,0.56969,0.37887,0.56969,0.031884,0
2.2778,1.1997,0.56197,0.36693,0.56197,0.034064,0
1.9383,1.0371,0.54691,0.35051,0.54691,0.036034,0
4.6504,2.4078,0.69261,0.40664,0.69261,0.01581,0
4.7018,2.2602,0.6386,0.37721,0.6386,0.014982,0
4.6225,2.1811,0.61891,0.36932,0.61891,0.015012,0
2.6322,1.4487,0.57989,0.37533,0.57989,0.024333,0
2.6015,1.4817,0.60098,0.3857,0.60098,0.024423,0
4.7098,2.306,0.65838,0.38421,0.65838,0.015321,0
2.7302,1.52,0.58361,0.37829,0.58361,0.021042,0
2.6416,1.4863,0.59443,0.38247,0.59443,0.023743,0
8.4441,0.80647,0.095463,0.035015,0.095463,0.0010696,0
8.2744,0.78865,0.10928,0.043283,0.10928,0.0012536,0
8.7597,0.79894,0.10632,0.039035,0.10632,0.0010442,0
6.7599,0.67063,0.12901,0.071648,0.12901,0.0035427,0
7.2985,0.90398,0.27447,0.16371,0.27447,0.0048936,0
7.0325,0.97362,0.3501,0.20816,0.3501,0.0059623,0
7.7343,0.95759,0.32651,0.21583,0.32651,0.006347,0
6.2426,0.55915,0.12273,0.070582,0.12273,0.0035686,0
6.0196,0.65601,0.18984,0.12973,0.18984,0.0065211,0
6.5329,1.078,0.47502,0.2806,0.47502,0.008669,0
6.6358,1.0924,0.46777,0.27818,0.46777,0.0077105,0
7.6309,1.343,0.64585,0.43745,0.64585,0.014811,0
6.6506,0.6466,0.21041,0.14784,0.21041,0.008864,0
4.0472,0.63796,0.37566,0.43853,0.37566,0.02081,0
5.7656,1.5828,0.87214,0.51798,0.87214,0.012825,0
8.41,1.8167,1.0228,0.54726,1.0228,0.014922,0
7.6963,2.2945,1.1573,0.64218,1.1573,0.020248,0
5.953,0.81264,0.45574,0.42024,0.45574,0.02871,0
3.2672,1.0453,0.88411,0.6549,0.88411,0.030404,0
5.2951,1.7922,1.0962,0.59827,1.0962,0.014965,0
8.192,2.4051,1.4553,0.6883,1.4553,0.017705,0
7.2895,2.9118,1.5238,0.75795,1.5238,0.022705,0
5.3762,1.9202,1.4583,0.85915,1.4583,0.047169,0
4.099,1.6032,1.5484,0.61801,1.5484,0.020067,0
4.1993,1.6191,1.4852,0.5932,1.4852,0.018529,0
4.9628,1.9003,1.4351,0.61574,1.4351,0.01665,0
8.6031,3.0106,1.9156,0.82149,1.9156,0.01999,0
7.304,3.8063,2.3857,0.99079,2.3857,0.023657,0
6.4032,3.0279,1.9779,0.84721,1.9779,0.028477,0
5.6064,2.9468,2.2672,0.84909,2.2672,0.028239,0
4.5117,2.0195,1.712,0.7277,1.712,0.029845,0
4.6759,2.0663,1.7974,0.72736,1.7974,0.028143,0
4.9796,2.3924,1.6366,0.67337,1.6366,0.016012,0
7.0347,4.4967,3.377,1.2056,3.377,0.025507,0
6.0934,3.99,3.5269,1.1947,3.5269,0.028352,0
4.3726,1.9595,1.6454,0.70994,1.6454,0.029698,0
8.4376,3.7263,2.618,1.0107,2.618,0.028593,0
7.0258,4.4494,3.3462,1.2185,3.3462,0.027322,0
0.83345,0.067574,0.01189,0.0039438,0.01189,0.00013527,0
0.96726,0.080106,0.016267,0.0048486,0.016267,0.00015473,0
0.68815,0.07262,0.012699,0.006099,0.012699,0.00031114,0
0.091135,0.033788,0.012582,0.0083173,0.012582,0.00034361,0
0.61528,0.45706,0.11662,0.064399,0.11662,0.0015658,0
0.72282,0.70795,0.15034,0.081599,0.15034,0.0014758,0
0.27319,0.21328,0.044138,0.022029,0.044138,0.00087287,0
0.099933,0.038435,0.010918,0.0052665,0.010918,0.00018274,0
0.098,0.059364,0.02007,0.015209,0.02007,0.00056141,0
0.52483,0.52651,0.15974,0.087991,0.15974,0.0025947,0
1.0956,1.4167,0.31751,0.17723,0.31751,0.003017,0
0.3538,0.44064,0.10707,0.06206,0.10707,0.003161,0
0.049544,0.03059,0.0081716,0.0046155,0.0081716,0.0001745,0
0.071222,0.069274,0.021432,0.021244,0.021432,0.00078621,0
0.59122,0.94628,0.23241,0.1321,0.23241,0.0033226,0
2.5696,4.4855,0.98562,0.44702,0.98562,0.0081054,0
0.19004,0.38841,0.065566,0.032812,0.065566,0.00092657,0
0.077054,0.057927,0.015874,0.010262,0.015874,0.00031172,0
0.055928,0.15447,0.040914,0.034267,0.040914,0.0010238,0
0.80108,2.4667,0.42274,0.24386,0.42274,0.0052883,0
0.80749,1.5883,0.33414,0.16508,0.33414,0.0029208,0
0.18671,0.63241,0.094454,0.037983,0.094454,0.00084208,0
0.12192,0.23093,0.047538,0.0199,0.047538,0.00053407,0
0.084091,0.31149,0.092334,0.043271,0.092334,0.0011861,0
0.094718,0.36179,0.10146,0.047689,0.10146,0.0012969,0
0.37866,1.0799,0.25966,0.12717,0.25966,0.002834,0
0.47453,0.93145,0.21065,0.10211,0.21065,0.0019575,0
0.14647,0.57324,0.10509,0.032267,0.10509,0.0005792,0
0.088834,0.39745,0.07528,0.017501,0.07528,0.00033815,0
0.089128,0.39775,0.076725,0.017833,0.076725,0.00032879,0
0.11347,0.40758,0.13789,0.066711,0.13789,0.0021884,0
0.1766,0.48958,0.1565,0.078865,0.1565,0.002234,0
0.21814,0.4799,0.14542,0.073475,0.14542,0.0018239,0
0.25049,0.6256,0.15954,0.045405,0.15954,0.00073942,0
0.24277,0.73949,0.18129,0.048313,0.18129,0.0007958,0
0.16906,0.45743,0.15331,0.079245,0.15331,0.0024208,0
0.33371,0.5851,0.1711,0.082153,0.1711,0.0022289,0
0.24907,0.70008,0.17531,0.048062,0.17531,0.00079222,0
0.29295,0.017593,0.0043293,0.0037111,0.0043293,9.5012e-05,0
0.26701,0.016651,0.0041281,0.0031036,0.0041281,6.8883e-05,0
0.21121,0.012073,0.0031158,0.002251,0.0031158,5.5814e-05,0
0.12611,0.0081936,0.002923,0.0023279,0.002923,5.056e-05,0
0.47469,0.06028,0.021679,0.020751,0.021679,0.0003105,0
1.7532,0.3004,0.10533,0.095683,0.10533,0.0011917,0
0.43736,0.066175,0.024331,0.023196,0.024331,0.00031878,0
0.051596,0.0062724,0.002546,0.0020669,0.002546,4.0465e-05,0
0.047569,0.009257,0.0040912,0.0028833,0.0040912,5.2846e-05,0
0.38243,0.07738,0.029638,0.028524,0.029638,0.00039778,0
2.3579,0.56847,0.21934,0.19274,0.21934,0.0024071,0
0.36281,0.083568,0.03414,0.030776,0.03414,0.00036996,0
0.023373,0.0046404,0.0021157,0.0016037,0.0021157,3.7223e-05,0
0.020597,0.0038136,0.0019398,0.0014871,0.0019398,4.5445e-05,0
0.16969,0.051605,0.020196,0.019461,0.020196,0.00026434,0
4.2211,1.1835,0.46466,0.41196,0.46466,0.0049967,0
0.14129,0.044251,0.017658,0.016215,0.017658,0.00020859,0
0.017562,0.0042644,0.0019602,0.0016153,0.0019602,3.9808e-05,0
0.0092343,0.0032547,0.001665,0.0012428,0.001665,3.8951e-05,0
0.24096,0.10221,0.042456,0.036416,0.042456,0.00049141,0
4.1555,1.5062,0.64699,0.51078,0.64699,0.006301,0
0.15559,0.061521,0.025696,0.021305,0.025696,0.00026531,0
0.017032,0.0061172,0.0028411,0.0022058,0.0028411,4.9418e-05,0
0.011398,0.005557,0.0033806,0.0022977,0.0033806,4.6299e-05,0
0.013871,0.0070856,0.0041915,0.0028961,0.0041915,5.5232e-05,0
0.61614,0.35382,0.1847,0.12382,0.1847,0.0015915,0
0.41446,0.20094,0.10018,0.068853,0.10018,0.00084504,0
0.086155,0.04496,0.024216,0.016291,0.024216,0.00019437,0
0.047053,0.025125,0.013876,0.0093551,0.013876,0.00011822,0
0.03088,0.016641,0.0094644,0.0063994,0.0094644,8.5164e-05,0
0.019407,0.014076,0.01132,0.0074167,0.01132,0.00013071,0
0.039517,0.029812,0.023084,0.013428,0.023084,0.00020788,0
0.1414,0.080152,0.046373,0.030935,0.046373,0.00056215,0
0.083983,0.045722,0.028889,0.01879,0.028889,0.00024907,0
0.033846,0.019753,0.012919,0.008388,0.012919,0.00010408,0
0.020691,0.015324,0.01226,0.0079271,0.01226,0.00014419,0
0.11623,0.066545,0.041024,0.030488,0.041024,0.00065895,0
0.065268,0.034844,0.022169,0.014737,0.022169,0.00021218,0
3.4231,0.54335,0.14726,0.06346,0.14726,0.001347,0
3.7085,1.0347,0.27452,0.11216,0.27452,0.0015797,0
4.4497,1.4254,0.41615,0.16696,0.41615,0.0030235,0
2.3837,0.83729,0.23123,0.14099,0.23123,0.0051714,0
4.4054,3.4061,0.82278,0.42025,0.82278,0.0062954,0
5.4759,5.8364,1.304,0.59601,1.304,0.0063438,0
5.6436,4.9805,1.2211,0.63704,1.2211,0.011053,0
3.3435,2.9705,0.90312,0.53115,0.90312,0.02179,0
2.8417,2.1168,0.63421,0.47968,0.63421,0.019478,0
5.8827,6.6519,1.694,0.80797,1.694,0.01491,0
7.0642,9.1178,2.1319,0.96257,2.1319,0.0093928,0
6.38,6.974,1.7195,0.86669,1.7195,0.014317,0
3.2656,3.4046,1.2097,0.85534,1.2097,0.03902,0
3.6172,4.5458,3.4743,6.0945,3.4743,0.18308,0
7.0766,9.9114,2.5657,1.0992,2.5657,0.016316,0
6.4578,7.7662,1.9067,0.77562,1.9067,0.0077668,0
6.7823,9.1157,2.1725,0.96693,2.1725,0.016721,0
2.3543,4.1327,6.1953,8.0267,6.1953,0.38507,0
5.9322,12.219,3.3638,1.5565,3.3638,0.087071,0
7.5932,13.117,3.0203,1.2144,3.0203,0.016648,0
