,f1,f2,f3,f4,f5,f6,Stage
338,0.018542,0.055955,0.14488,0.30192,0.14488,1.2133,1
339,0.01589,0.04836,0.11657,0.26825,0.11657,1.2201,1
340,0.01875,0.055023,0.13219,0.28436,0.13219,1.2159,1
341,0.015887,0.047836,0.11545,0.26288,0.11545,1.2207,1
342,1.5997,1.0003,1.4366,1.5974,1.4366,0.18749,1
343,2.278,1.1186,0.77478,0.67615,0.77478,0.044505,1
344,2.2638,1.0344,0.7637,0.62336,0.7637,0.055618,1
345,1.7086,1.243,1.6595,2.4209,1.6595,0.23347,1
346,3.6722,2.0196,1.7392,1.4407,1.7392,0.094208,1
347,3.5591,2.0007,1.4811,1.1656,1.4811,0.063629,1
348,3.3324,1.7106,1.6026,1.2582,1.6026,0.08743,1
349,1.5683,0.70073,0.59415,0.56814,0.59415,0.058557,1
350,1.3927,1.4699,2.4599,3.0065,2.4599,0.28409,1
351,2.6815,1.8914,1.5639,1.2771,1.5639,0.094586,1
352,4.0953,2.7213,2.0251,1.6312,2.0251,0.08716,1
353,2.8955,1.8254,1.7623,1.5682,1.7623,0.10863,1
354,2.0897,1.1376,1.2872,1.3281,1.2872,0.15744,1
355,1.0048,1.5273,2.7689,3.0927,2.7689,0.31457,1
356,3.1114,3.1627,2.2893,1.8453,2.2893,0.14054,1
357,2.9711,2.3852,1.7316,1.5098,1.7316,0.11221,1
358,3.0482,2.8562,2.2248,2.3535,2.2248,0.16752,1
359,0.99667,0.88851,1.6324,2.5774,1.6324,0.27451,1
360,1.341,2.3847,2.4111,2.9415,2.4111,0.36202,1
361,2.6208,3.3381,2.3775,1.8784,2.3775,0.17117,1
362,3.0649,3.3227,2.0886,1.8766,2.0886,0.14727,1
363,1.9382,2.4918,1.8732,2.0279,1.8732,0.20355,1
364,1.2997,1.6736,1.7788,2.3561,1.7788,0.29252,1
365,1.2161,2.7578,2.3143,2.8866,2.3143,0.46115,1
366,1.5775,2.9759,2.4788,2.7089,2.4788,0.40114,1
367,3.0936,3.7767,2.6783,1.9315,2.6783,0.20612,1
368,2.9654,3.5906,2.3428,1.8939,2.3428,0.18644,1
369,1.9542,2.7179,2.1324,2.2558,2.1324,0.24728,1
370,1.5418,2.2809,2.1994,2.4512,2.1994,0.30778,1
371,1.5012,2.1297,1.9929,2.4433,1.9929,0.31423,1
372,1.7765,2.4802,2.4173,2.4114,2.4173,0.38321,1
373,2.6552,2.9147,2.58,2.2439,2.58,0.31207,1
374,2.4048,3.0682,2.64,2.4028,2.64,0.3329,1
375,1.7905,2.5943,2.3825,2.4432,2.3825,0.37517,1
