,f1,f2,f3,f4,f5,f6,Stage
0,2.614,1.3786,0.62649,0.5893,0.62649,0.091245,3
1,2.371,1.3185,0.57093,0.48182,0.57093,0.062394,3
2,2.5129,1.5011,0.55678,0.45168,0.55678,0.049866,3
3,1.6486,0.84756,0.45594,0.56133,0.45594,0.096232,3
4,1.8814,1.8023,1.0421,1.2517,1.0421,0.23719,3
5,2.6766,2.7674,1.2093,1.2214,1.2093,0.17244,3
6,1.5737,1.6209,0.79383,0.83416,0.79383,0.13756,3
7,1.4312,0.8819,0.45459,0.47661,0.45459,0.063815,3
8,1.2434,0.72543,0.51323,0.58299,0.51323,0.095424,3
9,1.0051,1.2509,0.94225,1.5948,0.94225,0.37476,3
10,2.6148,3.1074,1.3113,1.3569,1.3113,0.19778,3
11,0.94549,1.2883,0.90853,1.2192,0.90853,0.29827,3
12,0.67544,0.3072,0.21828,0.23677,0.21828,0.041342,3
13,1.4192,0.98994,0.89284,1.0275,0.89284,0.17415,3
14,0.92715,1.5087,0.93246,1.6045,0.93246,0.38746,3
15,1.99,4.7132,1.0248,0.85158,1.0248,0.099951,3
16,1.0011,2.0093,0.7695,0.93392,0.7695,0.20572,3
17,1.1408,1.0356,0.66362,0.74163,0.66362,0.13673,3
18,1.0235,0.81321,0.67406,0.73215,0.67406,0.056409,3
19,0.98476,2.2766,1.1316,1.8309,1.1316,0.41526,3
20,1.7865,5.2786,1.0787,0.78182,1.0787,0.087767,3
21,1.3139,2.9844,0.92613,1.0567,0.92613,0.1752,3
22,0.99042,0.99784,0.39344,0.32437,0.39344,0.036348,3
23,1.9426,3.7925,1.6937,1.5798,1.6937,0.24099,3
24,1.7104,3.8969,1.6145,1.6117,1.6145,0.2881,3
25,1.5217,3.5941,1.4468,1.454,1.4468,0.26789,3
26,1.765,4.6611,1.273,0.82287,1.273,0.079622,3
27,1.5607,3.8348,1.2469,0.94004,1.2469,0.093266,3
28,1.3315,2.727,1.0878,0.84962,1.0878,0.091254,3
29,1.2529,2.223,1.007,0.7684,1.007,0.079643,3
30,2.059,3.9829,2.007,1.5137,2.007,0.22869,3
31,2.0066,4.0164,1.9563,1.4601,1.9563,0.2228,3
32,2.0268,3.9633,1.7225,1.3219,1.7225,0.18433,3
33,1.3884,2.9123,1.3659,1.0145,1.3659,0.11605,3
34,1.088,1.7851,1.0139,0.81213,1.0139,0.10167,3
35,2.216,4.2249,2.1173,1.5924,2.1173,0.24118,3
36,1.6862,3.7479,1.1563,0.77896,1.1563,0.077958,3
