,f1,f2,f3,f4,f5,f6,Stage
0,0.0023214,0.0028922,0.007489,3.3231,0.007489,0.43312,2
1,0.001744,0.0018961,0.0066942,3.8999,0.0066942,0.43167,2
2,0.0014268,0.0013832,0.0054681,4.1798,0.0054681,0.39473,2
3,0.0010073,0.0014601,0.0043953,2.8853,0.0043953,0.57437,2
4,0.00043293,0.00060912,0.0025146,2.8381,0.0025146,0.52947,2
5,0.00080914,0.0010734,0.0041098,3.9631,0.0041098,0.37305,2
6,0.00075641,0.0010486,0.0045262,4.3867,0.0045262,0.3641,2
7,0.00079656,0.00095608,0.0039775,3.336,0.0039775,0.44059,2
8,0.0018348,0.002638,0.0074061,3.086,0.0074061,0.51475,2
9,0.0011487,0.0014861,0.0036868,3.1267,0.0036868,0.52614,2
10,0.00062883,0.00095937,0.0039495,3.8937,0.0039495,0.37576,2
11,0.00083122,0.0012551,0.0046425,4.7789,0.0046425,0.38869,2
12,0.00073713,0.0010631,0.0038666,3.4115,0.0038666,0.46995,2
13,0.00093194,0.0013712,0.0041391,2.8881,0.0041391,0.50055,2
14,0.001164,0.0015987,0.0040682,3.4452,0.0040682,0.53537,2
15,0.00072108,0.0012978,0.0048557,4.545,0.0048557,0.34307,2
16,0.00088516,0.0014863,0.0049731,4.6499,0.0049731,0.40247,2
17,0.00041519,0.00068977,0.0028037,4.1457,0.0028037,0.48111,2
18,0.00072092,0.0018812,0.0082661,3.8304,0.0082661,0.46748,2
19,0.0015894,0.002424,0.0071198,3.5807,0.0071198,0.52309,2
20,0.001117,0.0021376,0.007184,4.925,0.007184,0.36097,2
21,0.0010364,0.0018791,0.0058477,4.62,0.0058477,0.40268,2
22,0.00073556,0.0015531,0.00541,4.5493,0.00541,0.42133,2
23,0.0012834,0.0021594,0.0077355,3.8725,0.0077355,0.46826,2
24,0.0015421,0.0024472,0.0085116,3.729,0.0085116,0.49218,2
25,0.0022253,0.0033782,0.0086269,4.251,0.0086269,0.44724,2
26,0.0014546,0.0024906,0.007118,4.5655,0.007118,0.40973,2
